,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
ft10_20,1035,1112,1039,1057,1010,1048,1228,1310,1308,1310,1310,1213
ft10_40,1105,1064,998,935,991,1107,1267,1134,1111,1098,1143,1043
ft10_60,1096,1087,1077,1045,974,1101,1281,1159,1092,1269,1242,1191
ft10_80,1226,964,1023,1042,902,1054,1143,1193,1189,1209,1380,1187
la21_20,1408,1281,1297,1325,1256,1389,1373,1421,1568,1496,1608,1545
la21_40,1189,1308,1240,1251,1308,1245,1471,1524,1489,1460,1517,1358
la21_60,1468,1354,1254,1341,1272,1388,1576,1681,1709,1548,1673,1423
la21_80,1424,1295,1355,1411,1326,1449,1485,1678,1618,1417,1784,1435
la26_20,1757,1357,1411,1380,1404,1386,1620,1784,1491,1710,1666,1701
la26_40,1774,1497,1496,1566,1443,1637,1897,1711,1696,1728,1884,1672
la26_60,1574,1528,1429,1455,1455,1401,1881,1817,1795,1736,1922,1546
la26_80,1657,1432,1398,1461,1459,1613,1784,1849,1830,1687,1788,1754
la31_20,2065,1809,1848,1855,1838,2021,2061,2365,2370,2222,2256,2083
la31_40,2213,1835,1786,1784,1784,1868,2334,2405,2331,2403,2437,2411
la31_60,2137,2069,2034,2095,2033,2067,2192,2326,2420,2300,2542,2208
la31_80,2059,1839,1787,1784,1841,1955,2086,2196,2300,2203,2299,2186
ta21_20,2113,1942,1969,1907,1921,1979,2380,2269,2117,2343,2430,2269
ta21_40,1963,1834,1930,1973,1938,2061,2075,2161,2223,2130,2177,2309
ta21_60,1988,1956,1895,1922,1944,1982,2191,2136,2148,2147,2197,2129
ta21_80,1911,1898,1985,1882,1836,2004,2308,2386,2331,2390,2541,2185
ta41_20,2705,2432,2374,2417,2301,2513,2795,2994,3015,2859,3054,2810
ta41_40,2735,2445,2345,2449,2446,2630,2833,3010,3161,2965,3314,2725
ta41_60,2861,2513,2469,2526,2468,2606,2997,3082,3012,3154,2912,3178
ta41_80,2502,2273,2317,2360,2249,2379,2957,3047,3051,2887,3095,2906
